,1900-01-00
1874,1900-01-01
1875,1900-02-01
1876,1900-03-01
1877,1900-04-01
1878,1900-05-01
1879,1900-06-01
1880,1900-07-01
1881,1900-08-01
1882,1900-09-01
1883,1900-10-01
1884,1900-11-01
1885,1900-12-01
1886,1901-01-01
1887,1901-02-01
1888,1901-03-01
1889,1901-04-01
1890,1901-05-01
1891,1901-06-01
1892,1901-07-01
1893,1901-08-01
1894,1901-09-01
1895,1901-10-01
1896,1901-11-01
1897,1901-12-01
1898,1902-01-01
1899,1902-02-01
1900,1902-03-01
1901,1902-04-01
1902,1902-05-01
1903,1902-06-01
1904,1902-07-01
1905,1902-08-01
1906,1902-09-01
1907,1902-10-01
1908,1902-11-01
1909,1902-12-01
1910,1903-01-01
1911,1903-02-01
1912,1903-03-01
1913,1903-04-01
1914,1903-05-01
1915,1903-06-01
1916,1903-07-01
1917,1903-08-01
1918,1903-09-01
1919,1903-10-01
1920,1903-11-01
1921,1903-12-01
1922,1904-01-01
1923,1904-02-01
1924,1904-03-01
1925,1904-04-01
1926,1904-05-01
1927,1904-06-01
1928,1904-07-01
1929,1904-08-01
1930,1904-09-01
1931,1904-10-01
1932,1904-11-01
1933,1904-12-01
1934,1905-01-01
1935,1905-02-01
1936,1905-03-01
1937,1905-04-01
1938,1905-05-01
1939,1905-06-01
1940,1905-07-01
1941,1905-08-01
1942,1905-09-01
1943,1905-10-01
1944,1905-11-01
1945,1905-12-01
1946,1906-01-01
1947,1906-02-01
1948,1906-03-01
1949,1906-04-01
1950,1906-05-01
1951,1906-06-01
1952,1906-07-01
1953,1906-08-01
1954,1906-09-01
1955,1906-10-01
1956,1906-11-01
1957,1906-12-01
1958,1907-01-01
1959,1907-02-01
1960,1907-03-01
1961,1907-04-01
1962,1907-05-01
1963,1907-06-01
1964,1907-07-01
1965,1907-08-01
1966,1907-09-01
1967,1907-10-01
1968,1907-11-01
1969,1907-12-01
1970,1908-01-01
1971,1908-02-01
1972,1908-03-01
1973,1908-04-01
1974,1908-05-01
1975,1908-06-01
1976,1908-07-01
1977,1908-08-01
1978,1908-09-01
1979,1908-10-01
1980,1908-11-01
1981,1908-12-01
1982,1909-01-01
1983,1909-02-01
1984,1909-03-01
1985,1909-04-01
1986,1909-05-01
1987,1909-06-01
1988,1909-07-01
1989,1909-08-01
1990,1909-09-01
1991,1909-10-01
1992,1909-11-01
1993,1909-12-01
1994,1910-01-01
1995,1910-02-01
1996,1910-03-01
1997,1910-04-01
1998,1910-05-01
1999,1910-06-01
2000,1910-07-01
2001,1910-08-01
2002,1910-09-01
2003,1910-10-01
2004,1910-11-01
2005,1910-12-01
2006,1911-01-01
2007,1911-02-01
2008,1911-03-01
2009,1911-04-01
2010,1911-05-01
2011,1911-06-01
2012,1911-07-01
2013,1911-08-01
2014,1911-09-01
2015,1911-10-01
2016,1911-11-01
2017,1911-12-01
2018,1912-01-01
2019,1912-02-01
2020,1912-03-01
2021,1912-04-01
2022,1912-05-01
2023,1912-06-01
2024,1912-07-01
2025,1912-08-01
2026,1912-09-01
2027,1912-10-01
2028,1912-11-01
2029,1912-12-01
2030,1913-01-01
2031,1913-02-01
2032,1913-03-01
2033,1913-04-01
2034,1913-05-01
2035,1913-06-01
2036,1913-07-01
2037,1913-08-01
2038,1913-09-01
2039,1913-10-01
2040,1913-11-01
2041,1913-12-01
2042,1914-01-01
2043,1914-02-01
2044,1914-03-01
2045,1914-04-01
2046,1914-05-01
2047,1914-06-01
2048,1914-07-01
2049,1914-08-01
2050,1914-09-01
2051,1914-10-01
2052,1914-11-01
2053,1914-12-01
2054,1915-01-01
2055,1915-02-01
2056,1915-03-01
2057,1915-04-01
2058,1915-05-01
2059,1915-06-01
2060,1915-07-01
2061,1915-08-01
2062,1915-09-01
2063,1915-10-01
2064,1915-11-01
2065,1915-12-01
2066,1916-01-01
2067,1916-02-01
2068,1916-03-01
2069,1916-04-01
2070,1916-05-01
2071,1916-06-01
2072,1916-07-01
2073,1916-08-01
2074,1916-09-01
2075,1916-10-01
2076,1916-11-01
2077,1916-12-01
2078,1917-01-01
2079,1917-02-01
2080,1917-03-01
2081,1917-04-01
2082,1917-05-01
2083,1917-06-01
2084,1917-07-01
2085,1917-08-01
2086,1917-09-01
2087,1917-10-01
2088,1917-11-01
2089,1917-12-01
2090,1918-01-01
2091,1918-02-01
2092,1918-03-01
2093,1918-04-01
2094,1918-05-01
2095,1918-06-01
2096,1918-07-01
2097,1918-08-01
2098,1918-09-01
2099,1918-10-01
2100,1918-11-01
2101,1918-12-01
2102,1919-01-01
2103,1919-02-01
2104,1919-03-01
2105,1919-04-01
2106,1919-05-01
2107,1919-06-01
2108,1919-07-01
2109,1919-08-01
2110,1919-09-01
2111,1919-10-01
2112,1919-11-01
2113,1919-12-01
2114,1920-01-01
2115,1920-02-01
2116,1920-03-01
2117,1920-04-01
2118,1920-05-01
2119,1920-06-01
2120,1920-07-01
2121,1920-08-01
2122,1920-09-01
2123,1920-10-01
2124,1920-11-01
2125,1920-12-01
2126,1921-01-01
2127,1921-02-01
2128,1921-03-01
2129,1921-04-01
2130,1921-05-01
2131,1921-06-01
2132,1921-07-01
2133,1921-08-01
2134,1921-09-01
2135,1921-10-01
2136,1921-11-01
2137,1921-12-01
2138,1922-01-01
2139,1922-02-01
2140,1922-03-01
2141,1922-04-01
2142,1922-05-01
2143,1922-06-01
2144,1922-07-01
2145,1922-08-01
2146,1922-09-01
2147,1922-10-01
2148,1922-11-01
2149,1922-12-01
2150,1923-01-01
2151,1923-02-01
2152,1923-03-01
2153,1923-04-01
2154,1923-05-01
2155,1923-06-01
2156,1923-07-01
2157,1923-08-01
2158,1923-09-01
2159,1923-10-01
2160,1923-11-01
2161,1923-12-01
2162,1924-01-01
2163,1924-02-01
2164,1924-03-01
2165,1924-04-01
2166,1924-05-01
2167,1924-06-01
2168,1924-07-01
2169,1924-08-01
2170,1924-09-01
2171,1924-10-01
2172,1924-11-01
2173,1924-12-01
2174,1925-01-01
2175,1925-02-01
2176,1925-03-01
2177,1925-04-01
2178,1925-05-01
2179,1925-06-01
2180,1925-07-01
2181,1925-08-01
2182,1925-09-01
2183,1925-10-01
2184,1925-11-01
2185,1925-12-01
2186,1926-01-01
2187,1926-02-01
2188,1926-03-01
2189,1926-04-01
2190,1926-05-01
2191,1926-06-01
2192,1926-07-01
2193,1926-08-01
2194,1926-09-01
2195,1926-10-01
2196,1926-11-01
2197,1926-12-01
2198,1927-01-01
2199,1927-02-01
2200,1927-03-01
2201,1927-04-01
2202,1927-05-01
2203,1927-06-01
